"Category","Optimally Aligned Reads","Suboptimally Aligned Reads","Unaligned Reads"
"A03_1",2973640,816726,14452
"A04_1",2496986,704886,11628
"A05_1",2220067,570649,9300
"A06_0",2685,10296,1149
"A07_1",1979815,535294,8093
"A08_1",2038828,573566,8498
"A09_1",1859924,522088,7914
"A10_1",2406936,632852,10308
"B02_1",2698498,680668,10706
"B03_1",2609493,724978,12337
"B04_1",3033239,863127,15558
"B05_1",2599390,764129,14001
"B06_0",2027500,544502,8276
"B07_1",1575055,435905,6144
"B08_1",1868175,526087,8128
"B09_1",2013828,549843,8107
"B11_1",2273495,553302,8741
"C01_1",2578972,669896,9136
"C02_1",2620634,651623,9641
"C03_1",2667290,682915,11505
"C04_1",3249,4544,431
"C05_1",3918945,1099543,18326
"C06_0",2647791,726630,9759
"C07_1",3142737,664705,6396
"C09_1",1834545,481265,6302
"C10_1",1345,323,8
"C12_0",2322203,616224,10283
"D01_1",3069781,805168,13375
"D02_1",2772878,742237,10899
"D03_1",3433245,881998,18643
"D04_1",9330114,2478346,46136
"D05_1",16338546,4340065,77479
"D06_0",4230004,1120175,21201
"D07_1",8675546,2398086,43380
"D08_1",2144321,545277,8652
"D10_1",2563484,640748,11856
"D11_1",2415336,607621,9383
"D12_0",2631891,719799,11752
"E01_1",2882022,762450,12778
"E02_1",2593374,692084,10728
"E03_1",3071759,872504,17099
"E04_1",5258273,1486413,28670
"E05_1",4791630,1500532,65116
"E06_0",5325213,1509583,32692
"E07_1",4859712,1202434,21202
"E08_1",3194439,866946,15587
"E09_1",657624,176616,2630
"E10_1",2158063,583350,10023
"E11_1",2220401,590621,9310
"E12_0",2426952,637097,12343
"F01_1",2143087,495500,13697
"F02_1",2700297,673811,9854
"F03_1",2733159,767155,11586
"F04_1",2831804,765246,11756
"F05_1",12243075,3326054,52957
"F06_2",5840084,1627940,25030
"F07_1",11854485,3029759,41474
"F08_1",10706021,2714991,40250
"F09_1",1684220,434619,5945
"F10_1",2310695,595034,9819
"F11_1",2171794,542801,14285
"F12_2",2818126,699508,12036
"G01_1",2990622,743932,11610
"G02_1",2680512,678046,9732
"G05_1",3974854,1050303,16615
"G06_2",3215252,847379,13329
"G07_1",2654329,697113,9266
"G08_1",2550833,645499,9760
"G09_1",2468227,624725,9056
"G10_1",2655085,629527,10990
"H03_1",3159674,905434,26660
"H04_1",2401129,1143986,127449
"H05_1",3326085,867516,13549
"H06_50",3048718,805674,10988
"H07_1",2988761,751917,9952
"H09_1",2672255,689734,9765
